DATE,HourlyDryBulbTemperature,HourlyWetBulbTemperature,HourlyDewPointTemperature,HourlyRelativeHumidity,HourlyPrecipitation,HourlySeaLevelPressure,HourlyStationPressure,HourlyWindSpeed,HourlyWindDirection,Hour,Month,Season,UHI Intensity
2022-01-01 00:18:00,63.0,61.0,60.0,90.0,0.1,29.852,28.97,5.0,350.0,0,1,Winter,Medium
2022-01-01 00:53:00,62.0,60.0,59.0,90.0,0.0,29.64,28.97,0.0,0.0,0,1,Winter,Medium
2022-01-01 01:53:00,62.0,61.0,60.0,93.0,0.036,29.61,28.95,0.0,0.0,1,1,Winter,Medium
2022-01-01 02:53:00,61.0,60.0,60.0,97.0,0.0,29.61,28.95,0.0,0.0,2,1,Winter,Medium
2022-01-01 03:53:00,61.0,60.0,60.0,97.0,0.0,29.61,28.95,0.0,0.0,3,1,Winter,Medium
2022-01-01 04:53:00,61.0,60.0,59.0,93.0,0.0,29.62,28.95,0.0,0.0,4,1,Winter,Medium
2022-01-01 05:53:00,60.0,59.0,59.0,96.0,0.01,29.61,28.95,5.0,90.0,5,1,Winter,Medium
2022-01-01 06:53:00,60.0,59.0,59.0,96.0,0.002,29.6,28.94,0.0,0.0,6,1,Winter,Medium
2022-01-01 07:53:00,61.0,59.0,57.0,87.0,0.0,29.6,28.93,7.0,130.0,7,1,Winter,Medium
2022-01-01 08:53:00,61.0,60.0,59.0,93.0,0.0,29.62,28.96,5.0,170.0,8,1,Winter,Medium
2022-01-01 09:53:00,62.0,60.0,59.0,90.0,0.0,29.69,29.03,16.0,320.0,9,1,Winter,Medium
2022-01-01 10:53:00,66.0,61.0,58.0,75.0,0.0,29.67,29.0,10.0,330.0,10,1,Winter,Medium
2022-01-01 11:53:00,67.0,61.0,57.0,71.0,0.0,29.66,29.0,6.0,320.0,11,1,Winter,Medium
2022-01-01 12:53:00,69.0,62.0,57.0,66.0,0.0,29.64,28.97,8.0,290.0,12,1,Winter,Medium
2022-01-01 13:27:00,52.0,48.0,45.0,77.0,0.0,30.055999999999997,29.02,23.0,340.0,13,1,Winter,Medium
2022-01-01 13:30:00,51.0,48.0,44.0,77.0,0.0,30.056,29.02,22.0,340.0,13,1,Winter,Medium
2022-01-01 13:53:00,46.0,43.0,40.0,79.0,0.0,29.72,29.05,25.0,330.0,13,1,Winter,Medium
2022-01-01 14:53:00,42.0,39.0,35.0,76.0,0.0,29.77,29.09,18.0,330.0,14,1,Winter,Medium
2022-01-01 15:00:00,40.0,37.0,34.0,79.0,0.0,29.968,29.09,21.0,330.0,15,1,Winter,Medium
2022-01-01 15:13:00,39.0,36.0,33.0,79.0,0.0,30.054,29.11,20.0,330.0,15,1,Winter,Medium
2022-01-01 15:53:00,35.0,33.0,30.0,82.0,0.0,29.83,29.15,16.0,340.0,15,1,Winter,Medium
2022-01-01 16:53:00,32.0,30.0,27.0,82.0,0.0,29.87,29.19,18.0,360.0,16,1,Winter,Low
2022-01-01 17:53:00,30.0,28.0,24.0,79.0,0.0,29.91,29.22,15.0,350.0,17,1,Winter,Low
2022-01-01 18:06:00,29.0,27.0,23.0,78.0,0.002,30.122000000000003,29.23,22.0,350.0,18,1,Winter,Low
2022-01-01 18:53:00,28.0,26.0,22.0,78.0,0.0,29.94,29.25,21.0,340.0,18,1,Winter,Low
2022-01-01 19:12:00,28.0,26.0,22.0,78.0,0.002,30.154000000000003,29.29,21.0,340.0,19,1,Winter,Low
2022-01-01 19:51:00,27.0,24.0,19.0,74.0,0.0,30.392000000000003,29.32,22.0,330.0,19,1,Winter,Low
2022-01-01 19:53:00,27.0,25.0,20.0,75.0,0.0,30.01,29.32,23.0,330.0,19,1,Winter,Low
2022-01-01 20:53:00,25.0,23.0,17.0,72.0,0.0,30.04,29.35,18.0,330.0,20,1,Winter,Low
2022-01-01 21:53:00,23.0,20.0,14.0,68.0,0.0,30.09,29.4,21.0,340.0,21,1,Winter,Low
2022-01-01 22:53:00,21.0,18.0,12.0,68.0,0.0,30.12,29.44,16.0,330.0,22,1,Winter,Low
2022-01-01 23:03:00,21.0,18.0,12.0,68.0,0.0,30.222,29.44,18.0,330.0,23,1,Winter,Low
2022-01-01 23:53:00,20.0,18.0,11.0,68.0,0.0,30.16,29.48,17.0,330.0,23,1,Winter,Low
2022-01-01 23:59:00,65.040030719017,56.97726389428682,50.65560245587107,64.74489110620742,0.0086683445829996,30.012730285714287,29.32927454598427,9.427593521018126,165.3475037073653,23,1,Winter,Medium
2022-01-02 00:53:00,20.0,17.0,10.0,65.0,0.0,30.18,29.49,20.0,330.0,0,1,Winter,Low
2022-01-02 01:32:00,20.0,18.0,11.0,68.0,0.0,30.222,29.51,17.0,330.0,1,1,Winter,Low
2022-01-02 01:53:00,19.0,17.0,11.0,71.0,0.0,30.22,29.52,17.0,320.0,1,1,Winter,Low
2022-01-02 02:35:00,19.0,17.0,10.0,68.0,0.0,30.222,29.54,16.0,330.0,2,1,Winter,Low
2022-01-02 02:53:00,19.0,16.0,8.0,62.0,0.0,30.25,29.54,23.0,330.0,2,1,Winter,Low
2022-01-02 03:53:00,18.0,15.0,8.0,65.0,0.0,30.27,29.57,24.0,330.0,3,1,Winter,Low
2022-01-02 04:28:00,18.0,15.0,8.0,65.0,0.0,30.258,29.58,18.0,330.0,4,1,Winter,Low
2022-01-02 04:53:00,18.0,15.0,8.0,65.0,0.0,30.3,29.59,20.0,330.0,4,1,Winter,Low
2022-01-02 05:28:00,17.0,15.0,8.0,68.0,0.0,30.354000000000003,29.6,20.0,320.0,5,1,Winter,Low
2022-01-02 05:53:00,17.0,15.0,8.0,68.0,0.0,30.31,29.59,16.0,330.0,5,1,Winter,Low
2022-01-02 06:53:00,17.0,15.0,9.0,70.0,0.0,30.34,29.62,18.0,330.0,6,1,Winter,Low
2022-01-02 07:53:00,18.0,16.0,9.0,68.0,0.0,30.37,29.66,13.0,320.0,7,1,Winter,Low
2022-01-02 08:53:00,21.0,18.0,11.0,65.0,0.0,30.4,29.68,21.0,320.0,8,1,Winter,Low
2022-01-02 09:53:00,24.0,21.0,13.0,62.0,0.0,30.43,29.72,20.0,320.0,9,1,Winter,Low
2022-01-02 10:53:00,28.0,24.0,15.0,58.0,0.0,30.47,29.75,17.0,310.0,10,1,Winter,Low
2022-01-02 11:53:00,32.0,27.0,16.0,52.0,0.0,30.47,29.75,15.0,320.0,11,1,Winter,Low
2022-01-02 12:53:00,34.0,28.0,17.0,50.0,0.0,30.45,29.73,15.0,330.0,12,1,Winter,Medium
2022-01-02 13:53:00,38.0,31.0,18.0,44.0,0.0,30.44,29.73,16.0,330.0,13,1,Winter,Medium
2022-01-02 14:53:00,39.0,32.0,19.0,45.0,0.0,30.44,29.73,11.0,340.0,14,1,Winter,Medium
2022-01-02 15:53:00,39.0,32.0,18.0,43.0,0.0,30.44,29.73,11.0,350.0,15,1,Winter,Medium
2022-01-02 16:53:00,37.0,30.0,18.0,46.0,0.0,30.45,29.73,11.0,320.0,16,1,Winter,Medium
2022-01-02 17:53:00,32.0,27.0,18.0,56.0,0.0,30.47,29.75,6.0,320.0,17,1,Winter,Low
2022-01-02 18:53:00,27.0,24.0,19.0,72.0,0.0,30.48,29.77,6.0,330.0,18,1,Winter,Low
2022-01-02 19:53:00,28.0,25.0,19.0,69.0,0.0,30.5,29.78,5.0,290.0,19,1,Winter,Low
2022-01-02 20:53:00,27.0,24.0,19.0,72.0,0.0,30.48,29.77,0.0,0.0,20,1,Winter,Low
