DATE,HourlyDryBulbTemperature,HourlyWetBulbTemperature,HourlyDewPointTemperature,HourlyRelativeHumidity,HourlyPrecipitation,HourlySeaLevelPressure,HourlyStationPressure,HourlyWindSpeed,HourlyWindDirection,Hour,Month,Season
2022-01-01 00:18:00,67.0,66.0,65.0,93.0,0.03,29.836000000000002,28.99,8.0,290.0,0,1,Winter
2022-01-01 00:27:00,67.0,66.0,65.0,93.0,0.04,29.806,28.99,8.0,270.0,0,1,Winter
2022-01-01 00:53:00,66.0,64.0,63.0,90.0,0.04,29.62,28.98,6.0,310.0,0,1,Winter
2022-01-01 01:53:00,65.0,64.0,63.0,93.0,0.0,29.62,28.98,3.0,330.0,1,1,Winter
2022-01-01 02:53:00,65.0,64.0,63.0,93.0,0.0,29.61,28.96,3.0,310.0,2,1,Winter
2022-01-01 03:53:00,65.0,64.0,63.0,93.0,0.0,29.61,28.96,0.0,0.0,3,1,Winter
2022-01-01 04:00:00,65.0,64.0,63.0,93.0,0.0,29.901999999999997,28.96,0.0,0.0,4,1,Winter
2022-01-01 04:10:00,65.0,64.0,63.0,93.0,0.0,29.9,28.95,3.0,80.0,4,1,Winter
2022-01-01 04:53:00,65.0,64.0,64.0,97.0,0.0,29.6,28.95,0.0,0.0,4,1,Winter
2022-01-01 05:09:00,65.0,64.0,63.0,93.0,0.0,29.901999999999997,28.96,0.0,0.0,5,1,Winter
2022-01-01 05:53:00,65.0,63.0,62.0,90.0,0.0,29.6,28.96,5.0,10.0,5,1,Winter
2022-01-01 06:53:00,65.0,63.0,61.0,87.0,0.0,29.6,28.95,3.0,40.0,6,1,Winter
2022-01-01 07:53:00,64.0,61.0,59.0,84.0,0.0,29.6,28.95,5.0,80.0,7,1,Winter
2022-01-01 08:53:00,64.0,60.0,58.0,81.0,0.0,29.62,28.97,0.0,0.0,8,1,Winter
2022-01-01 09:53:00,65.0,61.0,59.0,81.0,0.0,29.64,28.99,0.0,0.0,9,1,Winter
2022-01-01 10:53:00,68.0,63.0,60.0,76.0,0.0,29.65,29.01,3.0,230.0,10,1,Winter
2022-01-01 11:53:00,69.0,63.0,59.0,70.0,0.0,29.65,29.0,9.0,300.0,11,1,Winter
2022-01-01 12:53:00,72.0,62.0,56.0,57.0,0.0,29.62,28.98,13.0,290.0,12,1,Winter
2022-01-01 13:53:00,74.0,59.0,48.0,40.0,0.0,29.62,28.97,11.0,280.0,13,1,Winter
2022-01-01 14:53:00,59.0,52.0,46.0,62.0,0.0,29.68,29.03,23.0,310.0,14,1,Winter
2022-01-01 15:53:00,49.0,44.0,39.0,69.0,0.0,29.75,29.09,24.0,310.0,15,1,Winter
2022-01-01 16:14:00,46.0,42.0,38.0,73.0,0.0,30.058,29.12,21.0,320.0,16,1,Winter
2022-01-01 16:53:00,43.0,40.0,35.0,74.0,0.0,29.81,29.15,15.0,330.0,16,1,Winter
2022-01-01 17:43:00,37.0,34.0,30.0,76.0,0.0,30.046000000000003,29.18,22.0,320.0,17,1,Winter
2022-01-01 17:53:00,37.0,34.0,30.0,76.0,0.0,29.86,29.2,23.0,330.0,17,1,Winter
2022-01-01 18:11:00,36.0,33.0,29.0,76.0,0.0,29.996,29.21,26.0,340.0,18,1,Winter
2022-01-01 18:53:00,34.0,31.0,26.0,73.0,0.0,29.89,29.23,17.0,340.0,18,1,Winter
2022-01-01 19:53:00,31.0,28.0,24.0,76.0,0.0,29.95,29.28,20.0,330.0,19,1,Winter
2022-01-01 20:53:00,29.0,26.0,21.0,72.0,0.0,29.99,29.31,23.0,310.0,20,1,Winter
2022-01-01 21:53:00,28.0,25.0,18.0,66.0,0.0,30.06,29.38,21.0,310.0,21,1,Winter
2022-01-01 22:25:00,27.0,24.0,17.0,66.0,0.0,30.2,29.39,21.0,320.0,22,1,Winter
2022-01-01 22:53:00,25.0,22.0,15.0,66.0,0.0,30.08,29.4,23.0,320.0,22,1,Winter
2022-01-01 23:53:00,24.0,21.0,13.0,62.0,0.0,30.12,29.45,21.0,300.0,23,1,Winter
2022-01-01 23:59:00,66.80465558194774,58.051400519780536,51.19745585722423,62.21944971537002,0.010914426575889188,30.007869645324735,29.337796789387674,9.062942414386837,161.5907741041378,23,1,Winter
2022-01-02 00:53:00,23.0,20.0,11.0,60.0,0.0,30.15,29.48,18.0,310.0,0,1,Winter
2022-01-02 01:53:00,22.0,19.0,11.0,63.0,0.0,30.17,29.5,21.0,310.0,1,1,Winter
2022-01-02 02:41:00,21.0,18.0,12.0,68.0,0.0,30.312,29.52,18.0,310.0,2,1,Winter
2022-01-02 02:53:00,21.0,18.0,11.0,65.0,0.0,30.21,29.52,17.0,310.0,2,1,Winter
2022-01-02 03:19:00,20.0,17.0,9.0,62.0,0.0,30.244,29.54,23.0,310.0,3,1,Winter
2022-01-02 03:53:00,20.0,17.0,9.0,62.0,0.0,30.24,29.55,17.0,300.0,3,1,Winter
2022-01-02 04:51:00,19.0,17.0,10.0,68.0,0.0,30.240000000000002,29.58,21.0,300.0,4,1,Winter
2022-01-02 04:53:00,20.0,17.0,10.0,65.0,0.0,30.28,29.59,17.0,300.0,4,1,Winter
2022-01-02 05:05:00,20.0,17.0,9.0,60.0,0.0,30.232,29.58,21.0,310.0,5,1,Winter
2022-01-02 05:13:00,20.0,17.0,9.0,62.0,0.0,30.240000000000002,29.59,17.0,300.0,5,1,Winter
2022-01-02 05:51:00,19.0,16.0,9.0,63.0,0.0,30.244,29.59,23.0,310.0,5,1,Winter
2022-01-02 05:53:00,21.0,16.0,9.4,62.0,0.0,30.28,29.59,21.0,320.0,5,1,Winter
2022-01-02 06:53:00,21.4,16.0,9.0,65.0,0.0,30.33,29.64,15.0,310.0,6,1,Winter
2022-01-02 07:32:00,20.6,16.0,9.0,65.0,0.0,30.232000000000006,29.64,21.0,300.0,7,1,Winter
2022-01-02 07:53:00,20.6,16.0,9.0,65.0,0.0,30.35,29.66,16.0,300.0,7,1,Winter
2022-01-02 08:08:00,19.8,17.0,9.0,62.0,0.0,30.232,29.66,22.0,310.0,8,1,Winter
2022-01-02 08:53:00,22.0,19.0,10.0,60.0,0.0,30.38,29.69,22.0,310.0,8,1,Winter
2022-01-02 09:53:00,25.0,21.0,12.0,58.0,0.0,30.41,29.72,22.0,320.0,9,1,Winter
2022-01-02 10:53:00,29.0,24.0,14.0,54.0,0.0,30.46,29.75,18.0,310.0,10,1,Winter
2022-01-02 11:53:00,32.0,27.0,15.0,50.0,0.0,30.45,29.75,18.0,300.0,11,1,Winter
2022-01-02 12:53:00,36.0,29.0,16.0,44.0,0.0,30.43,29.74,21.0,300.0,12,1,Winter
2022-01-02 13:53:00,39.0,31.0,17.0,41.0,0.0,30.41,29.72,16.0,320.0,13,1,Winter
2022-01-02 14:53:00,40.0,32.0,17.0,40.0,0.0,30.42,29.72,15.0,300.0,14,1,Winter
