DATE,HourlyDryBulbTemperature,HourlyWetBulbTemperature,HourlyDewPointTemperature,HourlyRelativeHumidity,HourlyPrecipitation,HourlySeaLevelPressure,HourlyStationPressure,HourlyWindSpeed,HourlyWindDirection,Hour,Month,Season
2022-01-01 00:53:00,65.0,64.0,63.0,93.0,0.01,29.63,29.13,9.0,320.0,0,1,Winter
2022-01-01 01:53:00,65.0,64.0,63.0,93.0,0.01,29.62,29.12,6.0,360.0,1,1,Winter
2022-01-01 02:53:00,64.0,63.0,63.0,96.0,0.013999999999999999,29.61,29.11,0.0,0.0,2,1,Winter
2022-01-01 03:53:00,64.0,62.0,61.0,90.0,0.024,29.61,29.11,3.0,80.0,3,1,Winter
2022-01-01 04:53:00,63.0,61.0,59.0,87.0,0.01,29.6,29.1,5.0,110.0,4,1,Winter
2022-01-01 05:00:00,63.0,61.0,59.0,87.0,0.01,29.874000000000002,29.1,3.0,110.0,5,1,Winter
2022-01-01 05:53:00,62.0,61.0,60.0,93.0,0.0,29.62,29.12,0.0,0.0,5,1,Winter
2022-01-01 06:53:00,62.0,60.0,58.0,86.0,0.0,29.6,29.09,5.0,90.0,6,1,Winter
2022-01-01 07:53:00,62.0,59.0,57.0,84.0,0.0,29.6,29.09,6.0,120.0,7,1,Winter
2022-01-01 08:53:00,62.0,60.0,58.0,86.0,0.0,29.61,29.11,6.0,120.0,8,1,Winter
2022-01-01 09:46:00,63.0,60.0,58.0,84.0,0.0,29.891999999999996,29.13,3.0,110.0,9,1,Winter
2022-01-01 09:53:00,63.0,61.0,59.0,87.0,0.0,29.65,29.14,5.0,110.0,9,1,Winter
2022-01-01 10:44:00,66.0,62.0,60.0,81.0,0.0,29.904000000000003,29.15,5.0,160.0,10,1,Winter
2022-01-01 10:53:00,67.0,63.0,60.0,79.0,0.0,29.65,29.15,3.0,180.0,10,1,Winter
2022-01-01 11:31:00,67.0,62.0,59.0,76.0,0.002,29.974,29.15,10.0,320.0,11,1,Winter
2022-01-01 11:53:00,69.0,63.0,59.0,70.0,0.0,29.65,29.14,10.0,300.0,11,1,Winter
2022-01-01 12:53:00,71.0,63.0,58.0,63.0,0.0,29.62,29.12,11.0,300.0,12,1,Winter
2022-01-01 13:53:00,73.0,60.0,51.0,46.0,0.0,29.61,29.11,16.0,290.0,13,1,Winter
2022-01-01 14:32:00,56.0,51.0,46.0,70.0,0.0,29.868000000000002,29.17,26.0,340.0,14,1,Winter
2022-01-01 14:44:00,54.0,49.0,44.0,69.0,0.0,29.860000000000003,29.18,26.0,340.0,14,1,Winter
2022-01-01 14:51:00,52.0,48.0,43.0,72.0,0.0,29.991999999999997,29.19,30.0,350.0,14,1,Winter
2022-01-01 14:53:00,51.0,47.0,43.0,74.0,0.0,29.7,29.19,29.0,340.0,14,1,Winter
2022-01-01 15:53:00,43.0,40.0,37.0,80.0,0.002,29.77,29.26,20.0,340.0,15,1,Winter
